id,produto,quantidade,preço,data
1,Ford Fiesta,2,45000.00,12/03/2024
2,Chevrolet Onix,3,55000.00,21/09/2023
3,Hyundai HB20,4,60000.00,06/01/2024
4,Volkswagen Gol,5,40000.00,17/06/2024
5,Toyota Corolla,2,95000.00,09/08/2024
6,Honda Civic,3,100000.00,25/12/2023
7,Renault Kwid,4,48000.00,11/02/2024
8,Jeep Renegade,3,110000.00,30/11/2023
9,Ford Ecosport,2,85000.00,14/07/2023
10,Chevrolet Tracker,3,120000.00,23/08/2024
11,Nissan Kicks,2,105000.00,28/03/2024
12,Volkswagen Polo,4,72000.00,05/05/2024
13,Toyota Yaris,3,85000.00,16/09/2024
14,Chevrolet Cruze,2,99000.00,02/11/2023
15,Ford Ka,4,48000.00,13/06/2024
16,Fiat Argo,5,55000.00,08/10/2023
17,Peugeot 208,3,70000.00,22/03/2024
18,Jeep Compass,2,130000.00,31/12/2023
19,Honda HR-V,2,118000.00,04/07/2024
20,Renault Duster,4,93000.00,27/02/2024
21,Ford Ranger,2,180000.00,18/04/2024
22,Chevrolet S10,3,190000.00,09/09/2023
23,Fiat Strada,5,75000.00,19/06/2024
24,Toyota Hilux,2,210000.00,03/03/2024
25,Volkswagen Amarok,3,230000.00,26/08/2024
26,Nissan Frontier,2,185000.00,10/02/2024
27,Chevrolet Spin,3,96000.00,20/12/2023
28,Fiat Toro,4,130000.00,15/05/2024
29,Ford Maverick,2,200000.00,07/04/2024
30,Citroën C4 Cactus,3,97000.00,30/07/2024
31,Hyundai Creta,4,105000.00,22/09/2023
32,Kia Sportage,3,150000.00,12/06/2024
33,Volkswagen T-Cross,4,140000.00,09/10/2023
34,Renault Sandero,3,58000.00,01/11/2023
35,Toyota SW4,2,260000.00,20/03/2024
36,Honda Fit,3,78000.00,11/08/2024
37,Ford Edge,2,220000.00,23/04/2024
38,Chevrolet Equinox,3,180000.00,29/05/2024
39,Mercedes-Benz Classe A,2,250000.00,17/01/2024
40,BMW X1,3,280000.00,26/09/2023
41,Audi Q3,2,290000.00,18/12/2023
42,Volvo XC60,2,320000.00,05/02/2024